Name of infrastructure,OID
Vanguard Depot,#N/A
Mfuleni Depot,#N/A
Bloemhof Electricity Headquarters,11876
Electricity House Building,#N/A
Newlands Network Centre,#N/A
Brackenfell Training Centre and Depot,#N/A
Athlone Power Station - Gas Turbine,#N/A
Athlone Power Station - Switching station,#N/A
Athlone Power Station - Training Centre,#N/A
Roggebaai Gas Turbine,#N/A
Steenbras Depot,#N/A
Green Point Track,#N/A
Langa Sport ground,11163
Diamant  Sport ground,#N/A
Nontulo Sports Ground,12100
Gustrouw Sport ground,#N/A
Hout Bay Sport ground,#N/A
Abattoir Sport ground,#N/A
Mamre Sport ground,#N/A
Sarepta Sport ground,#N/A
Charles Morkel Sport ground,#N/A
Lentegeur  Sport ground,#N/A
Ocean View Sport Ground,#N/A
Royal Road Sport ground,#N/A
William Herbert Sport ground,#N/A
Bellville South Sport ground,12264
Johnson Rd Sport ground,#N/A
Queens Park Sport ground,#N/A
NY 49 Sport ground,#N/A
14th Avenue Sport Ground,12209
Wesfleur Sport ground,#N/A
Rooikrans Sport ground,#N/A
Meadowridge Sport ground,12214
Masiphumelele  Sport ground,#N/A
Khayelitsha Cricket Oval ,#N/A
Khayelitsha Sport ground ,#N/A
Weltevreden Valley  Sport ground,#N/A
6th Street Sport ground,#N/A
Aber Sher Sport ground,#N/A
Accordian Sport ground,#N/A
Allenby Drive sport ground,#N/A
Alwyn Sport ground,#N/A
Avondale Sport ground,#N/A
Avonwood Sport ground,#N/A
Barnes Camp Sport ground,#N/A
Bellville Sport ground,#N/A
Bevcan Sport ground,#N/A
Bishop Lavis Sport ground,#N/A
Bloekombos sport ground,#N/A
Blueridge Sport Ground,#N/A
Bonteheuwel sport ground,#N/A
Brackenfell Sport ground,#N/A
Brooklyn Sport ground,#N/A
Bruce Sport ground,#N/A
Buck Rd Sport ground,#N/A
Chrismar Sport ground,#N/A
Chukker Road Sport ground,#N/A
Clover Crescent Sport ground,#N/A
Clyde Pinelands Sport ground,#N/A
Cornflower Sport ground,#N/A
Cravenby Sport ground,#N/A
Delft Central Sport ground,#N/A
Delft South Sport ground,#N/A
Dennemeur  Sport ground,#N/A
D'Oliviera Sport ground,#N/A
Dolomite  Sport ground,#N/A
Downberg Sport ground,#N/A
Driftsands  Sport ground,#N/A
Durbanville Sport ground,12550
Edgemead Sport ground,#N/A
Eesteriver  Sport ground,#N/A
Eikendal Sport ground,#N/A
Elm Street Sport ground,#N/A
Erica Park Sport ground,#N/A
Fisantekraal Sport ground,#N/A
Fish Hoek Sport ground,#N/A
Florida Park Sport ground,#N/A
Gildale Sport ground,#N/A
Goodwood Sport ground,#N/A
Gordons Bay Sport ground,#N/A
Green Point Common Sport ground,#N/A
Groenewald Sport ground,#N/A
Hangberg Sport ground,#N/A
Hazel Rd Sport ground,#N/A
Heideveld Sport ground,12519
Hoosain Parker Sport ground,#N/A
J Nontulo Sports ground,#N/A
Jagtershof Sport ground,#N/A
Jan Burger Sport ground,#N/A
Joe Slovo Sport ground,#N/A
JP Rocklands Sport ground,#N/A
JQ Rocklands  Sport ground,#N/A
Kleinvlei  Sport ground,#N/A
Klipheuwel Sport ground,#N/A
Kuilsriver Central  Sport ground,#N/A
Lwandle Sport ground,#N/A
Macassar New Sport ground,#N/A
Macassar Old Sport ground,#N/A
Makhaza  Sport ground,#N/A
Malibu  Sport ground,#N/A
Malta Park Sport ground,#N/A
Mandalay Sport ground,#N/A
"Manenberg   'The Greens"" Sport ground",#N/A
Matroosfontein Sport ground,#N/A
Mfuleni  Sport ground,#N/A
Monte Vista Sport ground,#N/A
MorningStar Sport ground,#N/A
Noll Dawid Sport ground,#N/A
Nomzamo Sport ground,#N/A
Noordhoek Sport ground,#N/A
NY 95 Sport ground,#N/A
Nyanga Rugby Sport ground,#N/A
Ohio  Sport ground,#N/A
Parkwood Sport ground,#N/A
Pella Sport ground,#N/A
Plumstead Sport ground,#N/A
Portlands Sport ground,#N/A
PP Smit Sport ground,#N/A
Protea Park Sport ground,#N/A
Quarry Hill Sport ground,#N/A
Radloff Park Sport ground,#N/A
Robinvale Sport ground,#N/A
Rosmead Ave Sport ground,#N/A
Rygersdal Sport ground,#N/A
Salbereau Sport ground,#N/A
Saxon Sea Sport ground,#N/A
Scottsdene Sport Ground,#N/A
Seawinds Sport ground,#N/A
Shelley Str Sport ground,#N/A
Sir Lowry Pass Sport ground,#N/A
Site C Sport ground,#N/A
Solo Street Sport ground,#N/A
St Andrews Sport ground,#N/A
St Frusquin Sport ground,#N/A
Stan Abbot Sport ground,#N/A
Strandfontein  Sport ground,#N/A
Swartklip  Sport ground,#N/A
